Symbol,Date,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
NABIL,2026-05-22,529.0,530.8,527.9,530.0,529.29,42686.0,527.9,22593352.0,380,2.1,2.9,0.4,0.55,0.13,511.25,513.75,562.0,471.0
NABIL,2026-05-23,529.0,530.8,527.9,530.0,529.29,42686.0,527.9,22593352.0,380,2.1,2.9,0.4,0.55,0.13,511.25,513.75,562.0,471.0
NABIL,2026-05-24,529.0,530.8,527.9,530.0,529.29,42686.0,527.9,22593352.0,380,2.1,2.9,0.4,0.55,0.13,511.25,513.75,562.0,471.0
NABIL,2026-05-25,530.0,536.0,530.0,535.4,533.83,59099.0,530.0,31548874.3,610,5.4,6.0,1.02,1.13,0.29,511.51,513.68,562.0,471.0
NABIL,2026-05-26,540.0,540.0,532.1,537.0,536.11,59432.0,535.4,31862044.6,495,1.6,7.9,0.3,1.48,0.17,511.75,513.66,562.0,471.0
NABIL,2026-05-27,538.7,540.0,534.0,537.0,537.86,68884.0,537.0,37050047.9,496,0.0,6.0,0.0,1.12,-0.16,512.0,513.6,562.0,471.0
NABIL,2026-05-28,538.7,540.0,534.0,537.0,537.86,68884.0,537.0,37050047.9,496,0.0,6.0,0.0,1.12,-0.16,512.0,513.6,562.0,471.0
NABIL,2026-05-29,538.7,540.0,534.0,537.0,537.86,68884.0,537.0,37050047.9,496,0.0,6.0,0.0,1.12,-0.16,512.0,513.6,562.0,471.0
NABIL,2026-05-30,538.7,540.0,534.0,537.0,537.86,68884.0,537.0,37050047.9,496,0.0,6.0,0.0,1.12,-0.16,512.0,513.6,562.0,471.0
NABIL,2026-05-31,538.7,540.0,534.0,537.0,537.86,68884.0,537.0,37050047.9,496,0.0,6.0,0.0,1.12,-0.16,512.0,513.6,562.0,471.0
NABIL,2026-06-01,537.0,544.0,531.0,534.0,535.3,44350.0,537.0,23740496.2,503,-3.0,13.0,-0.56,2.45,-0.24,512.23,513.54,562.0,471.0
NABIL,2026-06-02,540.0,540.0,530.0,536.9,536.25,43239.0,534.0,23186885.8,381,2.9,10.0,0.54,1.89,0.12,512.48,513.54,562.0,471.0
NABIL,2026-06-03,536.0,539.0,532.0,536.5,536.69,36962.0,536.9,19837224.3,379,-0.4,7.0,-0.07,1.32,-0.04,512.71,513.61,562.0,471.0
NABIL,2026-06-04,563.0,563.0,531.1,538.8,537.96,35729.0,536.5,19220678.3,339,2.3,31.9,0.43,6.01,0.16,512.92,513.67,563.0,471.0
NABIL,2026-06-05,537.0,540.0,535.0,535.0,536.42,38895.0,538.8,20863977.4,368,-3.8,5.0,-0.71,0.93,-0.27,513.13,513.71,563.0,471.0
NABIL,2026-06-06,537.0,540.0,535.0,535.0,536.42,38895.0,538.8,20863977.4,368,-3.8,5.0,-0.71,0.93,-0.27,513.13,513.71,563.0,471.0



