Symbol,Date,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Daily_return,SMA_20,EMA_20,RSI_14,MACD
NABIL,2025-05-26,506.6,516.0,496.1,498.07,501.69,87620.0,496.75,43957960.7,623,1.32,19.9,0.27,4.01,-0.73,497.15,528.19,700.0,450.0,-0.6722188585869222,870.7445000000014,830.3012035215667,45.07361986775326,54.73198520937672
NABIL,2025-05-27,498.0,498.1,493.6,496.48,495.66,33750.0,498.07,16728470.2,325,-1.59,4.5,-0.32,0.91,0.17,496.64,527.45,700.0,450.0,-0.6782455412691829,805.3890000000014,792.0705803238734,48.78429727475374,66.91004850816603
NABIL,2025-05-28,501.9,501.9,494.0,500.42,498.46,66059.0,496.48,32927625.3,440,3.94,7.9,0.79,1.6,0.39,496.2,526.68,700.0,450.0,-0.6775623554275478,834.8785000000014,811.4035047047549,49.9856058026169,62.81164421450001
NABIL,2025-05-29,501.9,501.9,494.0,500.42,498.46,66059.0,496.48,32927625.3,440,3.94,7.9,0.79,1.6,0.39,496.2,526.68,700.0,450.0,-0.6775623554275478,834.8785000000014,811.4034749064319,49.98560580261687,62.81243075455723
NABIL,2025-05-30,501.9,501.9,494.0,500.42,498.46,66059.0,496.48,32927625.3,440,3.94,7.9,0.79,1.6,0.39,496.2,526.68,700.0,450.0,-0.6775623554275478,834.8785000000014,811.4034749064319,49.98560580261687,62.81243075455723
NABIL,2025-05-31,501.9,501.9,494.0,500.42,498.46,66059.0,496.48,32927625.3,440,3.94,7.9,0.79,1.6,0.39,496.2,526.68,700.0,450.0,-0.6775623554275478,834.8785000000014,811.4034749064319,49.98560580261687,62.81243075455723
NABIL,2025-06-01,501.9,501.9,494.0,500.42,498.46,66059.0,496.48,32927625.3,440,3.94,7.9,0.79,1.6,0.39,496.2,526.68,700.0,450.0,-0.6775623554275478,834.8785000000014,811.4034749064319,49.98560580261687,62.81243075455723
NABIL,2025-06-02,510.4,510.4,500.1,500.78,502.93,73634.0,500.42,37032517.5,664,0.36,10.3,0.07,2.06,-0.43,495.72,525.86,700.0,450.0,-0.6789707164469974,862.6150000000014,821.5773493043152,45.19771496258205,64.22721736057304
NABIL,2025-06-03,505.9,505.9,495.0,497.45,498.47,54808.0,500.78,27320373.9,492,-3.33,10.9,-0.66,2.2,-0.21,495.31,525.03,700.0,450.0,-0.6904865604778496,826.7175000000013,805.799854328091,50.00537341726428,65.56076140752077
NABIL,2025-06-04,499.0,499.0,490.0,491.11,492.19,48051.0,497.45,23650135.0,443,-6.34,9.0,-1.27,1.84,-0.22,494.86,524.17,700.0,450.0,-0.7017665312467738,822.7285000000014,802.1904338689386,49.99841167874961,69.0525860295013
